"","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age.x","state.x","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age.y","state.y","order","entry_num","exclude","exclude_reason","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"1",2,"20201105T061203","20201105T061310",66,"Rep","Dem",75,-75,80,20,22,100,78,"Rep",FALSE,32,"Missouri","20210120T050725","20210120T051259",333,2021-01-20 05:12:59,"Yes","Rep",NA,"Yes","Dem",NA,74,"Dem",NA,91,"Joe Biden",100,"Joe Biden",100,"Dem",75,70,70,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,3,"20",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,0,0,2,2,3,6,2,0,26,9,6,50,50,44,50,44,50,51,45,39,56,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",33,"Missouri",528,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",80,61,44,50,50,50,56,50,56,50,49,55,0,FALSE
"2",3,"20201105T045642","20201105T050013",211,"Rep","Rep",100,100,48,48,100,100,0,"Dem",FALSE,50,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4,"20201105T065732","20201105T065935",122,"Rep","Rep",85,85,48,48,51,51,0,"Dem",FALSE,41,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",6,"20201104T184822","20201104T185021",118,"Rep","Rep",100,100,81,81,85,80,-5,"Rep",TRUE,34,"California","20210120T070353","20210120T070755",242,2021-01-20 07:07:55,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,72,"Joe Biden",51,"Joe Biden",51,"Rep",94,34,0,"Joe Biden",100,100,NA,NA,"Extremely likely","Extremely likely",60,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials,Social media campaigns spreading false information,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,91,93,93,93,94,93,93,92,6,92,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","92","0","2","Yes","Female",34,"California",732,1,FALSE,NA,"Extremely likely","Extremely likely",0,92,0,2,0,0,0,0,0,0,0,0,-34,FALSE
"5",7,"20201105T065030","20201105T072805",2254,"Rep","Rep",100,100,40,40,92,88,-4,"Dem",FALSE,58,"Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",8,"20201104T221913","20201105T044253",23020,"Dem","Dem",86,-86,86,14,81,5,-76,"Dem",TRUE,49,"Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",9,"20201104T190659","20201104T190937",158,"Dem","Dem",100,-100,90,10,47,18,-29,"Dem",TRUE,66,"Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",10,"20201105T063100","20201105T063321",140,"Dem","Dem",100,-100,80,20,5,5,0,"Dem",TRUE,41,"Mississippi","20210120T085737","20210120T090735",598,2021-01-20 09:07:36,"Yes","Dem",NA,"Yes","Dem",NA,85,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",95,60,58,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,2,NA,45,"Electorate manipulation prior to election day,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media",NA,12,3,2,3,3,1,1,15,16,7,2,45,51,51,60,59,51,51,41,0,100,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",41,"Mississippi",922,1,FALSE,NA,"Extremely unlikely","Extremely unlikely",45,100,0,49,55,49,49,40,41,49,49,59,-2,FALSE
"9",11,"20201104T220641","20201104T220856",135,"Rep","Rep",74,74,43,43,23,19,-4,"Rep",TRUE,35,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,"20201104T185657","20201104T185800",62,"Rep","Other",52,NA,0,NA,27,24,-3,"Rep",NA,29,"Maryland","20210120T055823","20210120T060233",250,2021-01-20 06:02:34,"Yes","Rep",NA,"Yes","Other","Jo jorgensen",73,"Other","Jo jorgensen",88,"Joe Biden",99,"Joe Biden",98,"Dem",96,64,68,"Joe Biden",100,100,"Unlikely","Unlikely",NA,NA,1,NA,27,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,10,15,9,14,5,3,2,15,10,10,10,56,61,56,61,63,66,59,56,23,99,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",29,"Maryland",604,1,FALSE,NA,"Unlikely","Unlikely",27,77,1,20,44,39,44,39,37,34,41,44,4,TRUE
