"","StartDate","EndDate","Duration_inSeconds_","RecordedDate","consent","affiliation","affiliation_4_TEXT","vote","PrefCand_election_day","preferred_candidate_3_TEXT","PrefStrength_election_day","PrefCand_present","preferred_now_3_TEXT","PrefStrength_present","WinCount","WinCount_confidence","WinElectoral","WinElectoral_confidence","WinFraudless","WinFraudless_confidence","PopVoteShareBiden","PopVoteShareBidenNoFraud","NextPresident","NextPresidentConf","attention_check_4","fraud_prob_order_B_T_1","fraud_prob_order_B_T_2","fraud_prob_order_T_B_1","fraud_prob_order_T_B_2","FraudPercent","fraud_benefit_T_B_1","fraud_benefit_B_T_1","FraudActivities","FraudActivities_free_text","ImpactElectoralManipulationPreElection","ImpactVoteFraud","ImpactBallotFraud","ImpactMailFraud","ImpactElectronicSystems","ImpactMisrecording","ImpactMisreporting","ImpactSocialMediaFalseNews","ImpactRightMediaFalseNews","ImpactLeftMediaFalseNews","ImpactNewsAggregFalseNews","fraud_type_ben_T_B_5","fraud_type_ben_T_B_6","fraud_type_ben_T_B_7","fraud_type_ben_T_B_8","fraud_type_ben_T_B_9","fraud_type_ben_T_B_10","fraud_type_ben_T_B_11","fraud_type_ben_T_B_13","fraud_type_ben_T_B_2","fraud_type_ben_T_B_3","fraud_type_ben_T_B_4","fraud_type_ben_B_T_5","fraud_type_ben_B_T_6","fraud_type_ben_B_T_7","fraud_type_ben_B_T_8","fraud_type_ben_B_T_9","fraud_type_ben_B_T_10","fraud_type_ben_B_T_11","fraud_type_ben_B_T_13","fraud_type_ben_B_T_2","fraud_type_ben_B_T_3","fraud_type_ben_B_T_4","citizenship","gender","age","state","order","entry_num","exclude","exclude_reason","participant_num","FraudProbCatBiden","FraudProbCatTrump","Fraudbenefitrump","BenefitRightMediaFalseNews","BenefitLeftMediaFalseNews","BenefitNewsAggregFalseNews","BenefitElectoralManipulationPreElection","BenefitVoteFraud","BenefitBallotFraud","BenefitMailFraud","BenefitElectronicSystems","BenefitMisrecording","BenefitMisreporting","BenefitSocialMediaFalseNews","PopVoteShareBidenChange","original_other"
"1","20210119T205829","20210119T210206",217,2021-01-19 21:02:06,"Yes","Dem",NA,"Yes","Dem",NA,90,"Dem",NA,93,"Joe Biden",100,"Joe Biden",100,"Dem",100,61,63,"Joe Biden",100,100,NA,NA,"Likely","Extremely unlikely",2,NA,86,"Mail-in ballot fraud
,False news stories by ""right-wing"" media",NA,14,12,8,4,8,5,2,4,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51","48","51","59","51","51","58","51","85","51","51","Yes","Female",37,"California",2,1,FALSE,NA,1577,"Extremely unlikely","Likely",86,85,51,51,51,48,51,59,51,51,58,51,2,FALSE
"2","20210119T210046","20210119T210931",525,2021-01-19 21:09:32,"Yes","Ind",NA,"Yes","Dem",NA,100,"Dem",NA,100,"Joe Biden",100,"Joe Biden",100,"Dem",100,30,20,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,"0",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,1,1,1,2,2,0,0,9,80,0,5,0,0,0,0,0,0,0,0,0,40,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",36,"Nevada",5,1,FALSE,NA,512,"Extremely unlikely","Extremely unlikely",100,100,60,49,100,100,100,100,100,100,100,100,-10,FALSE
"3","20210119T212343","20210119T212933",349,2021-01-19 21:29:33,"Yes","Rep",NA,"Yes","Rep",NA,73,"Rep",NA,45,"Joe Biden",55,"Joe Biden",55,"Rep",85,51,12,"Joe Biden",75,100,"Likely","Extremely unlikely",NA,NA,30,NA,2,"Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
,Mis-reporting of final vote counts by state electoral officials",NA,20,13,16,63,89,71,75,29,2,11,11,64,71,62,90,96,75,92,65,27,81,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",48,"Washington",7,1,FALSE,NA,1656,"Likely","Extremely unlikely",2,73,19,21,36,29,38,10,4,25,8,35,-39,FALSE
"4","20210119T213947","20210119T214300",192,2021-01-19 21:43:00,"Yes","Ind",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Joe Biden",100,"Joe Biden",100,"Rep",100,51,40,"Joe Biden",100,100,NA,NA,"Extremely unlikely","Extremely likely",9,NA,0,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems,Mis-recording of votes by state vote-counters and state electoral officials
",NA,55,62,73,80,59,36,28,4,2,23,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","77","0","0","Yes","Male",37,"Arizona",8,1,FALSE,NA,479,"Extremely likely","Extremely unlikely",0,77,0,0,0,0,0,0,0,0,0,0,-11,FALSE
"5","20210119T213941","20210119T214305",203,2021-01-19 21:43:05,"Yes","Rep",NA,"No","Rep",NA,4,"Dem",NA,65,"Donald Trump",95,"Joe Biden",100,"Don't know",100,55,50,"Joe Biden",100,100,"Unlikely","Extremely unlikely",NA,NA,0,"100",NA,"Vote buying / voter impersonation / misuse of proxy votes",NA,0,72,57,39,0,0,0,0,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","100","0","0","Yes","Male",32,"District of Columbia",9,1,FALSE,NA,224,"Unlikely","Extremely unlikely",0,100,0,0,0,0,0,0,0,0,0,0,-5,FALSE
"6","20210119T214056","20210119T214326",150,2021-01-19 21:43:26,"Yes","Dem",NA,"Yes","Other","Jo Jorgensen",0,"Other","Jo Jorgensen",0,"Joe Biden",100,"Joe Biden",100,"Dem",100,58,58,"Joe Biden",100,100,"Extremely unlikely","Extremely unlikely",NA,NA,1,NA,50,"Social media campaigns spreading false information,False news stories by ""right-wing"" media,False news stories by ""left-wing"" media,False news stories by news aggregator services (e.g., Reuters, Allied Press)",NA,0,0,0,0,0,0,0,4,2,3,5,51,52,52,51,56,55,55,57,0,100,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",34,"Florida",10,1,FALSE,NA,728,"Extremely unlikely","Extremely unlikely",50,100,0,10,49,48,48,49,44,45,45,43,0,TRUE
"7","20210119T214020","20210119T214352",212,2021-01-19 21:43:53,"Yes","Ind",NA,"Yes","Other",NA,65,"Other",NA,85,"Don't know",61,"Don't know",63,"Don't know",75,48,53,"Joe Biden",68,100,"Unlikely","Unlikely",NA,NA,14,"79",NA,"Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information",NA,31,31,30,73,71,41,30,68,63,64,37,38,27,29,81,61,38,41,38,69,71,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",56,"California",11,1,FALSE,NA,1444,"Unlikely","Unlikely",21,31,29,63,62,73,71,19,39,62,59,62,5,TRUE
"8","20210119T214034","20210119T214357",202,2021-01-19 21:43:57,"Yes","Ind",NA,"Yes","Dem",NA,86,"Dem",NA,92,"Joe Biden",89,"Joe Biden",100,"Dem",100,93,95,"Joe Biden",95,100,NA,NA,"Likely","Extremely unlikely",2,"8",NA,"Electorate manipulation prior to election day,Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Tampering with electronic voting systems,Social media campaigns spreading false information,False news stories by ""right-wing"" media",NA,20,12,20,23,30,0,3,32,53,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","79","74","63","76","71","79","71","86","16","51","Yes","Male",33,"Pennsylvania",12,1,FALSE,NA,1177,"Extremely unlikely","Likely",92,86,16,51,80,79,74,63,76,71,79,71,2,FALSE
"9","20210119T214111","20210119T214417",185,2021-01-19 21:44:17,"Yes","Ind",NA,"Yes","Rep",NA,45,"Rep",NA,56,"Joe Biden",29,"Joe Biden",27,"Don't know",50,72,65,"Joe Biden",100,100,"Likely","Extremely unlikely",NA,NA,65,"100",NA,"Vote buying / voter impersonation / misuse of proxy votes,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,70,79,93,100,77,34,74,26,30,26,21,78,94,100,100,100,100,100,100,29,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Female",32,"Indiana",13,1,FALSE,NA,1123,"Likely","Extremely unlikely",0,71,0,0,22,6,0,0,0,0,0,0,-7,FALSE
"10","20210119T214134","20210119T214433",179,2021-01-19 21:44:34,"Yes","Rep",NA,"Yes","Rep",NA,100,"Rep",NA,100,"Donald Trump",100,"Donald Trump",100,"Rep",100,10,5,"Donald Trump",100,100,NA,NA,"Extremely unlikely","Extremely likely",85,NA,0,"Ballot manipulation or ballot-box stuffing
,Mail-in ballot fraud
,Tampering with electronic voting systems",NA,61,60,100,100,100,74,74,93,0,100,71,100,100,100,100,100,100,100,100,51,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Male",22,"California",16,1,FALSE,NA,248,"Extremely likely","Extremely unlikely",0,49,0,0,0,0,0,0,0,0,0,0,-5,FALSE
