"","participant_num","T_start","T_end","Duration__in_seconds_","Affiliation","PrefCand","PrefStrength","PrefStrengthRep","WinProb","WinProbRep","FraudProb","FraudProbMap","DeltaFraudProb","Map","MapMatchPrefer","age","state"
"1",578,"20201104T180546","20201104T180719",93,"Dem","Dem",100,-100,98,2,5,0,-5,"Dem",TRUE,26,"Maryland"
"2",1656,"20201104T181257","20201104T181448",110,"Rep","Rep",65,65,55,55,80,75,-5,"Dem",FALSE,47,"Washington"
"3",156,"20201104T182321","20201104T182447",86,"Dem","Dem",60,-60,80,20,30,10,-20,"Dem",TRUE,34,"Oregon"
"4",119,"20201104T184620","20201104T184730",70,"Ind","Dem",20,-20,95,5,3,19,16,"Rep",FALSE,26,"Illinois"
"5",1227,"20201104T184654","20201104T184739",44,"Dem","Dem",100,-100,95,5,6,0,-6,"Dem",TRUE,24,"Wisconsin"
"6",106,"20201104T184656","20201104T184743",47,"Dem","Dem",100,-100,90,10,12,7,-5,"Dem",TRUE,27,"Connecticut"
"7",1533,"20201104T184632","20201104T184746",73,"Dem","Dem",71,-71,63,37,22,15,-7,"Dem",TRUE,23,"North Carolina"
"8",341,"20201104T184649","20201104T184752",62,"Dem","Dem",80,-80,70,30,20,80,60,"Rep",FALSE,25,"Kentucky"
"9",1234,"20201104T184644","20201104T184754",69,"Ind","Other",99,NA,7,NA,18,7,-11,"Rep",NA,34,"South Carolina"
"10",1355,"20201104T184641","20201104T184801",80,"Dem","Dem",99,-99,88,12,12,50,38,"Rep",FALSE,25,"Ohio"
"11",48,"20201104T184638","20201104T184807",88,"Dem","Dem",100,-100,53,47,4,3,-1,"Dem",TRUE,37,"Tennessee"
"12",209,"20201104T184634","20201104T184812",98,"Dem","Rep",26,26,49,49,79,32,-47,"Dem",FALSE,40,"California"
"13",475,"20201104T184702","20201104T184814",71,"Dem","Dem",100,-100,100,0,0,0,0,"Rep",FALSE,35,"Missouri"
"14",522,"20201104T184707","20201104T184816",69,"Dem","Dem",85,-85,79,21,18,29,11,"Dem",TRUE,24,"Texas"
"15",1278,"20201104T184646","20201104T184822",95,"Dem","Dem",100,-100,50,50,0,0,0,"Dem",TRUE,34,"Pennsylvania"
"16",1149,"20201104T184655","20201104T184827",91,"Ind","Rep",79,79,52,52,7,10,3,"Dem",FALSE,51,"California"
"17",1414,"20201104T184710","20201104T184827",77,"Ind","Dem",51,-51,80,20,5,0,-5,"Rep",FALSE,35,"Missouri"
"18",1016,"20201104T184709","20201104T184831",81,"Rep","Rep",100,100,91,91,69,94,25,"Dem",FALSE,43,"Kentucky"
"19",1064,"20201104T184705","20201104T184833",88,"Dem","Dem",100,-100,75,25,91,0,-91,"Rep",FALSE,58,"Illinois"
"20",1628,"20201104T184722","20201104T184837",74,"Dem","Dem",100,-100,80,20,0,0,0,"Dem",TRUE,18,"Florida"
"21",1053,"20201104T184652","20201104T184843",110,"Ind","Rep",71,71,48,48,70,77,7,"Rep",TRUE,27,"Arizona"
"22",479,"20201104T184748","20201104T184847",58,"Rep","Rep",100,100,7,7,100,100,0,"Dem",FALSE,37,"Arizona"
